Transaction_ID,Date,Travel_destination,Category,Schedule,Price,Price_per_person,Number_of_people,Age_group
S00064,2024/03/03,パリ,海外,8泊9日,426000,213000,2,40代
S00065,2024/03/25,東北,国内,3泊4日,78000,39000,2,60代
S00066,2024/03/02,ニューヨーク,海外,6泊7日,742000,371000,2,20代
S00067,2024/03/01,東京ディズニー,国内,1泊2日,48000,24000,2,40代
S00068,2024/03/06,台湾,海外,4泊5日,144000,48000,3,50代
S00069,2024/03/01,沖縄,国内,3泊4日,195000,65000,3,60代
S00070,2024/03/27,グアム,海外,5泊6日,240000,120000,2,50代
S00071,2024/03/19,台湾,海外,2泊3日,128000,64000,2,40代
S00072,2024/03/27,韓国,海外,3泊4日,154000,77000,2,60代
S00073,2024/03/24,大阪,国内,3泊4日,276000,46000,6,30代
S00074,2024/03/24,大阪,国内,3泊4日,94000,47000,2,60代
S00075,2024/03/15,箱根,国内,2泊3日,52000,26000,2,40代
S00076,2024/03/29,東北,国内,3泊4日,93000,31000,3,40代
S00077,2024/03/08,ハワイ,海外,7泊8日,465000,155000,3,40代
S00078,2024/03/19,九州,国内,3泊4日,174000,58000,3,40代
S00079,2024/03/09,ローマ,海外,7泊8日,460000,230000,2,20代
S00080,2024/03/24,東京ディズニー,国内,2泊3日,90000,45000,2,40代
S00081,2024/03/10,韓国,海外,2泊3日,162000,81000,2,30代
S00082,2024/03/23,ハワイ,海外,5泊6日,531000,177000,3,50代
S00083,2024/03/11,ハワイ,海外,5泊6日,1650000,275000,6,30代
S00084,2024/03/21,沖縄,国内,4泊5日,77000,77000,1,20代
S00085,2024/03/25,京都,国内,2泊3日,120000,40000,3,50代
S00086,2024/03/19,九州,国内,3泊4日,140000,70000,2,40代
S00087,2024/03/09,バリ島,海外,6泊7日,245000,245000,1,30代
S00088,2024/03/16,ローマ,海外,7泊8日,254000,254000,1,30代
S00089,2024/03/26,タイ,海外,5泊6日,258000,86000,3,50代
S00090,2024/03/27,タイ,海外,3泊4日,100000,100000,1,30代
S00091,2024/03/15,大阪,国内,3泊4日,58000,29000,2,40代
S00092,2024/03/29,グアム,海外,4泊5日,332000,83000,4,40代
S00093,2024/03/01,グアム,海外,5泊6日,716000,179000,4,40代
S00094,2024/03/06,タイ,海外,5泊6日,144000,72000,2,50代
S00095,2024/03/28,パリ,海外,6泊7日,552000,276000,2,50代
S00096,2024/03/03,沖縄,国内,3泊4日,132000,66000,2,20代
S00097,2024/03/18,パリ,海外,8泊9日,590000,295000,2,30代
S00098,2024/03/07,ニューヨーク,海外,6泊7日,945000,315000,3,60代
S00099,2024/03/20,シンガポール,海外,3泊4日,328000,82000,4,30代
S00100,2024/03/04,ハワイ,海外,5泊6日,849000,283000,3,50代
S00101,2024/03/08,シンガポール,海外,4泊5日,477000,159000,3,30代
S00102,2024/03/26,箱根,国内,2泊3日,48000,24000,2,50代
S00103,2024/03/19,韓国,海外,4泊5日,210000,70000,3,20代
S00104,2024/03/30,四国,国内,3泊4日,180000,36000,5,60代
S00105,2024/04/16,箱根,国内,2泊3日,72000,36000,2,50代
S00106,2024/04/19,京都,国内,2泊3日,270000,54000,5,60代
S00107,2024/04/14,ローマ,海外,6泊7日,249000,249000,1,50代
S00108,2024/04/28,韓国,海外,4泊5日,280000,56000,5,30代
S00109,2024/04/02,韓国,海外,4泊5日,54000,54000,1,40代
S00110,2024/04/25,シンガポール,海外,5泊6日,408000,102000,4,20代
S00111,2024/04/02,九州,国内,3泊4日,92000,46000,2,40代
S00112,2024/04/03,京都,国内,3泊4日,205000,41000,5,40代
S00113,2024/04/09,大阪,国内,2泊3日,92000,46000,2,20代
S00114,2024/04/15,京都,国内,2泊3日,318000,53000,6,30代
S00115,2024/04/13,京都,国内,2泊3日,98000,49000,2,30代
S00116,2024/04/27,北海道,国内,4泊5日,160000,80000,2,20代
S00117,2024/04/27,ニューヨーク,海外,6泊7日,1640000,410000,4,30代
S00118,2024/04/25,東京ディズニー,国内,1泊2日,123000,41000,3,60代
S00119,2024/04/24,グアム,海外,3泊4日,178000,178000,1,30代
S00120,2024/04/12,韓国,海外,4泊5日,138000,46000,3,30代
S00121,2024/04/10,シンガポール,海外,5泊6日,705000,141000,5,50代
S00122,2024/04/24,韓国,海外,4泊5日,528000,88000,6,60代
S00123,2024/04/18,北海道,国内,2泊3日,237000,79000,3,50代
S00124,2024/04/08,京都,国内,2泊3日,46000,46000,1,60代
S00125,2024/04/15,バリ島,海外,6泊7日,274000,137000,2,40代
S00126,2024/04/08,京都,国内,3泊4日,104000,52000,2,40代
S00127,2024/04/27,パリ,海外,8泊9日,819000,273000,3,60代
S00128,2024/04/08,大阪,国内,2泊3日,38000,38000,1,50代
S00129,2024/04/07,四国,国内,2泊3日,155000,31000,5,50代
S00130,2024/04/02,シンガポール,海外,4泊5日,308000,154000,2,20代
S00131,2024/05/27,バリ島,海外,4泊5日,202000,101000,2,20代
S00132,2024/05/26,ハワイ,海外,5泊6日,370000,185000,2,60代
S00133,2024/05/01,バリ島,海外,4泊5日,420000,210000,2,20代
S00134,2024/05/12,大阪,国内,3泊4日,81000,27000,3,40代
S00135,2024/05/15,ハワイ,海外,4泊5日,255000,255000,1,40代
S00136,2024/05/03,沖縄,国内,3泊4日,174000,58000,3,20代
S00137,2024/05/20,四国,国内,3泊4日,93000,31000,3,40代
S00138,2024/05/07,ニューヨーク,海外,6泊7日,867000,289000,3,30代
S00139,2024/05/11,九州,国内,4泊5日,122000,61000,2,60代
S00140,2024/05/24,大阪,国内,3泊4日,44000,22000,2,20代
S00141,2024/05/14,ローマ,海外,7泊8日,1455000,291000,5,60代
S00142,2024/05/12,バリ島,海外,4泊5日,678000,226000,3,30代
S00143,2024/05/25,東北,国内,3泊4日,159000,53000,3,50代
S00144,2024/05/21,バリ島,海外,6泊7日,170000,170000,1,60代
S00145,2024/05/12,オーストラリア,海外,5泊6日,704000,352000,2,20代
S00146,2024/05/17,沖縄,国内,2泊3日,100000,50000,2,40代
S00147,2024/05/29,バリ島,海外,4泊5日,226000,113000,2,50代
S00148,2024/05/15,ハワイ,海外,7泊8日,360000,180000,2,50代
S00149,2024/05/22,ハワイ,海外,6泊7日,307000,307000,1,30代
S00150,2024/05/25,台湾,海外,3泊4日,146000,73000,2,20代
S00151,2024/05/08,ハワイ,海外,6泊7日,161000,161000,1,60代
S00152,2024/05/19,韓国,海外,3泊4日,186000,62000,3,50代
S00153,2024/05/31,京都,国内,3泊4日,147000,49000,3,50代
S00154,2024/05/13,大阪,国内,3泊4日,44000,44000,1,60代
S00155,2024/05/21,沖縄,国内,2泊3日,189000,63000,3,30代
S00156,2024/05/05,東京ディズニー,国内,2泊3日,90000,45000,2,40代
S00157,2024/05/19,大阪,国内,3泊4日,76000,38000,2,60代
S00158,2024/05/21,韓国,海外,3泊4日,128000,64000,2,20代
S00159,2024/05/17,沖縄,国内,2泊3日,88000,44000,2,40代
S00160,2024/05/17,バリ島,海外,5泊6日,333000,111000,3,40代
S00161,2024/05/16,九州,国内,4泊5日,74000,37000,2,20代
S00162,2024/06/02,パリ,海外,6泊7日,1348000,337000,4,60代
S00163,2024/06/13,オーストラリア,海外,8泊9日,776000,194000,4,50代
S00164,2024/06/18,東北,国内,3泊4日,94000,47000,2,50代
S00165,2024/06/19,東北,国内,2泊3日,230000,46000,5,30代
S00166,2024/06/03,ニューヨーク,海外,6泊7日,858000,286000,3,40代
S00167,2024/06/22,沖縄,国内,3泊4日,180000,60000,3,20代
S00168,2024/06/05,東京ディズニー,国内,1泊2日,23000,23000,1,50代
S00169,2024/06/11,北海道,国内,4泊5日,92000,46000,2,30代
S00170,2024/06/06,韓国,海外,4泊5日,158000,79000,2,40代
S00171,2024/06/24,九州,国内,3泊4日,122000,61000,2,30代
S00172,2024/06/15,オーストラリア,海外,8泊9日,1248000,312000,4,50代
S00173,2024/06/05,台湾,海外,3泊4日,64000,64000,1,40代
S00174,2024/06/10,韓国,海外,2泊3日,276000,69000,4,30代
S00175,2024/06/29,韓国,海外,3泊4日,305000,61000,5,40代
S00176,2024/06/01,四国,国内,3泊4日,245000,49000,5,50代
S00177,2024/06/27,九州,国内,3泊4日,244000,61000,4,20代
S00178,2024/06/07,北海道,国内,2泊3日,210000,70000,3,50代
S00179,2024/06/02,九州,国内,2泊3日,120000,60000,2,50代
S00180,2024/06/01,バリ島,海外,6泊7日,414000,138000,3,30代
S00181,2024/06/14,箱根,国内,1泊2日,108000,27000,4,20代
S00182,2024/06/17,台湾,海外,4泊5日,43000,43000,1,60代
S00183,2024/06/12,台湾,海外,2泊3日,162000,81000,2,50代
S00184,2024/06/12,京都,国内,3泊4日,110000,55000,2,40代
S00185,2024/06/03,韓国,海外,4泊5日,216000,54000,4,40代
S00186,2024/06/10,東北,国内,3泊4日,198000,33000,6,40代
S00187,2024/06/25,四国,国内,2泊3日,160000,32000,5,30代
S00188,2024/07/13,韓国,海外,3泊4日,408000,68000,6,40代
S00189,2024/07/24,台湾,海外,3泊4日,94000,94000,1,40代
S00190,2024/07/22,北海道,国内,3泊4日,126000,63000,2,40代
S00191,2024/07/28,北海道,国内,3泊4日,231000,77000,3,40代
S00192,2024/07/13,パリ,海外,7泊8日,726000,242000,3,50代
S00193,2024/07/15,パリ,海外,5泊6日,738000,369000,2,30代
S00194,2024/07/05,北海道,国内,4泊5日,128000,64000,2,30代
S00195,2024/07/11,九州,国内,4泊5日,64000,32000,2,60代
S00196,2024/07/04,タイ,海外,4泊5日,352000,88000,4,50代
S00197,2024/07/05,沖縄,国内,2泊3日,207000,69000,3,60代
S00198,2024/07/23,バリ島,海外,4泊5日,537000,179000,3,30代
S00199,2024/07/17,台湾,海外,2泊3日,98000,49000,2,30代
S00200,2024/07/12,ハワイ,海外,7泊8日,1240000,310000,4,40代
S00201,2024/07/24,シンガポール,海外,4泊5日,564000,188000,3,50代
S00202,2024/07/15,バリ島,海外,5泊6日,980000,245000,4,30代
S00203,2024/07/30,四国,国内,2泊3日,152000,38000,4,40代
S00204,2024/07/31,箱根,国内,2泊3日,144000,36000,4,30代
S00205,2024/07/18,東京ディズニー,国内,1泊2日,117000,39000,3,30代
S00206,2024/07/30,箱根,国内,1泊2日,64000,16000,4,20代
S00207,2024/07/25,バリ島,海外,6泊7日,462000,231000,2,40代
S00208,2024/07/16,オーストラリア,海外,6泊7日,1032000,258000,4,50代
S00209,2024/07/16,四国,国内,3泊4日,76000,38000,2,40代
S00210,2024/07/05,シンガポール,海外,4泊5日,336000,112000,3,20代
S00211,2024/07/02,沖縄,国内,3泊4日,335000,67000,5,60代
S00212,2024/07/30,台湾,海外,4泊5日,200000,50000,4,30代
S00213,2024/07/16,韓国,海外,2泊3日,65000,65000,1,30代
S00214,2024/07/10,北海道,国内,3泊4日,237000,79000,3,50代
S00215,2024/07/29,東北,国内,3泊4日,148000,37000,4,50代
S00216,2024/07/18,沖縄,国内,3泊4日,76000,76000,1,40代
S00217,2024/07/04,沖縄,国内,3泊4日,154000,77000,2,60代
S00218,2024/07/13,グアム,海外,5泊6日,174000,174000,1,20代
S00219,2024/07/29,沖縄,国内,4泊5日,122000,61000,2,60代
S00220,2024/07/17,ハワイ,海外,7泊8日,616000,154000,4,30代
S00221,2024/07/26,ハワイ,海外,4泊5日,966000,322000,3,30代
S00222,2024/07/02,沖縄,国内,4泊5日,261000,87000,3,40代
S00223,2024/07/08,台湾,海外,2泊3日,159000,53000,3,50代
S00224,2024/07/07,東北,国内,3泊4日,120000,40000,3,40代
S00225,2024/07/17,パリ,海外,6泊7日,975000,325000,3,60代
S00226,2024/07/18,四国,国内,3泊4日,156000,52000,3,50代
S00227,2024/07/07,グアム,海外,3泊4日,238000,119000,2,30代
S00228,2024/07/12,東京ディズニー,国内,2泊3日,76000,38000,2,40代
S00229,2024/07/26,オーストラリア,海外,6泊7日,734000,367000,2,30代
S00230,2024/07/07,ニューヨーク,海外,5泊6日,1388000,347000,4,30代
S00231,2024/07/08,ローマ,海外,6泊7日,239000,239000,1,60代
S00232,2024/07/16,箱根,国内,1泊2日,132000,33000,4,20代
S00233,2024/07/29,オーストラリア,海外,8泊9日,765000,255000,3,30代
S00234,2024/07/08,バリ島,海外,6泊7日,440000,110000,4,60代
S00235,2024/07/02,オーストラリア,海外,8泊9日,1504000,376000,4,30代
S00236,2024/07/19,北海道,国内,4泊5日,108000,54000,2,60代
S00237,2024/08/05,韓国,海外,4泊5日,126000,42000,3,30代
S00238,2024/08/01,パリ,海外,7泊8日,1596000,399000,4,40代
S00239,2024/08/17,台湾,海外,3泊4日,52000,52000,1,50代
S00240,2024/08/13,北海道,国内,2泊3日,114000,57000,2,30代
S00241,2024/08/12,京都,国内,3泊4日,112000,56000,2,50代
S00242,2024/08/29,タイ,海外,5泊6日,576000,144000,4,50代
S00243,2024/08/31,沖縄,国内,2泊3日,240000,80000,3,40代
S00244,2024/08/26,ニューヨーク,海外,7泊8日,1512000,378000,4,50代
S00245,2024/08/17,ハワイ,海外,6泊7日,166000,166000,1,40代
S00246,2024/08/05,ハワイ,海外,5泊6日,360000,180000,2,40代
S00247,2024/08/17,北海道,国内,3泊4日,276000,69000,4,40代
S00248,2024/08/26,大阪,国内,2泊3日,188000,47000,4,30代
S00249,2024/08/12,北海道,国内,4泊5日,40000,40000,1,60代
S00250,2024/08/25,東北,国内,2泊3日,184000,46000,4,60代
S00251,2024/08/30,四国,国内,3泊4日,100000,50000,2,50代
S00252,2024/08/18,沖縄,国内,3泊4日,165000,55000,3,50代
S00253,2024/08/24,大阪,国内,3泊4日,56000,28000,2,30代
S00254,2024/08/29,沖縄,国内,4泊5日,332000,83000,4,20代
S00255,2024/08/03,沖縄,国内,2泊3日,252000,84000,3,40代
S00256,2024/08/08,東北,国内,2泊3日,120000,30000,4,50代
S00257,2024/08/20,東京ディズニー,国内,2泊3日,84000,42000,2,60代
S00258,2024/08/31,北海道,国内,4泊5日,380000,76000,5,60代
S00259,2024/08/31,シンガポール,海外,5泊6日,488000,122000,4,50代
S00260,2024/08/25,九州,国内,4泊5日,150000,50000,3,50代
S00261,2024/08/18,タイ,海外,4泊5日,468000,78000,6,40代
S00262,2024/08/30,バリ島,海外,5泊6日,600000,150000,4,20代
S00263,2024/08/28,ハワイ,海外,4泊5日,680000,340000,2,50代
S00264,2024/08/11,韓国,海外,3泊4日,282000,47000,6,20代
S00265,2024/08/23,タイ,海外,5泊6日,364000,91000,4,30代
S00266,2024/08/21,大阪,国内,2泊3日,98000,49000,2,30代
S00267,2024/08/11,ニューヨーク,海外,5泊6日,694000,347000,2,40代
S00268,2024/08/30,京都,国内,3泊4日,105000,35000,3,40代
S00269,2024/08/16,台湾,海外,4泊5日,228000,57000,4,50代
S00270,2024/08/24,大阪,国内,2泊3日,72000,36000,2,50代
S00271,2024/08/27,ハワイ,海外,4泊5日,760000,152000,5,50代
S00272,2024/08/05,北海道,国内,2泊3日,78000,39000,2,40代
S00273,2024/08/22,タイ,海外,4泊5日,114000,114000,1,40代
S00274,2024/08/10,ハワイ,海外,4泊5日,789000,263000,3,50代
S00275,2024/08/17,タイ,海外,3泊4日,186000,93000,2,40代
S00276,2024/08/31,北海道,国内,3泊4日,150000,50000,3,30代
S00277,2024/08/28,バリ島,海外,6泊7日,796000,199000,4,20代
S00278,2024/08/03,パリ,海外,8泊9日,1148000,287000,4,40代
S00279,2024/08/30,韓国,海外,2泊3日,160000,80000,2,60代
S00280,2024/08/22,タイ,海外,4泊5日,320000,64000,5,40代
S00281,2024/08/19,オーストラリア,海外,6泊7日,1136000,284000,4,50代
S00282,2024/08/27,沖縄,国内,3泊4日,260000,65000,4,40代
S00283,2024/08/12,大阪,国内,1泊2日,22000,22000,1,30代
S00284,2024/08/25,東北,国内,3泊4日,40000,40000,1,30代
S00285,2024/08/22,四国,国内,3泊4日,54000,54000,1,40代
S00286,2024/08/23,沖縄,国内,4泊5日,128000,64000,2,30代
S00287,2024/09/09,東北,国内,2泊3日,80000,40000,2,30代
S00288,2024/09/12,北海道,国内,4泊5日,56000,56000,1,40代
S00289,2024/09/03,四国,国内,2泊3日,120000,40000,3,30代
S00290,2024/09/03,ハワイ,海外,5泊6日,554000,277000,2,40代
S00291,2024/09/16,ニューヨーク,海外,7泊8日,708000,236000,3,40代
S00292,2024/09/13,韓国,海外,3泊4日,178000,89000,2,40代
S00293,2024/09/20,九州,国内,4泊5日,112000,56000,2,30代
S00294,2024/09/19,パリ,海外,6泊7日,812000,406000,2,30代
S00295,2024/09/18,東京ディズニー,国内,1泊2日,176000,44000,4,40代
S00296,2024/09/27,台湾,海外,4泊5日,92000,92000,1,50代
S00297,2024/09/22,東京ディズニー,国内,1泊2日,88000,22000,4,50代
S00298,2024/09/17,四国,国内,3泊4日,120000,40000,3,50代
S00299,2024/09/03,パリ,海外,5泊6日,1172000,293000,4,50代
S00300,2024/09/22,シンガポール,海外,5泊6日,368000,184000,2,50代
S00301,2024/09/24,東京ディズニー,国内,1泊2日,90000,45000,2,30代
S00302,2024/09/01,東北,国内,3泊4日,56000,28000,2,40代
S00303,2024/09/11,東北,国内,3泊4日,144000,36000,4,40代
S00304,2024/09/10,九州,国内,2泊3日,208000,52000,4,20代
S00305,2024/09/24,オーストラリア,海外,6泊7日,801000,267000,3,40代
S00306,2024/09/21,台湾,海外,2泊3日,132000,66000,2,50代
S00307,2024/09/14,大阪,国内,2泊3日,29000,29000,1,30代
S00308,2024/09/26,グアム,海外,5泊6日,280000,140000,2,30代
S00309,2024/09/21,ハワイ,海外,6泊7日,912000,304000,3,40代
S00310,2024/09/27,バリ島,海外,6泊7日,488000,122000,4,30代
S00311,2024/09/06,九州,国内,3泊4日,228000,57000,4,40代
S00312,2024/09/21,京都,国内,3泊4日,144000,36000,4,40代
S00313,2024/09/27,京都,国内,2泊3日,78000,26000,3,60代
S00314,2024/09/17,シンガポール,海外,5泊6日,402000,134000,3,50代
S00315,2024/09/01,沖縄,国内,2泊3日,150000,75000,2,30代
S00316,2024/09/25,ニューヨーク,海外,6泊7日,690000,230000,3,20代
S00317,2024/09/25,ハワイ,海外,4泊5日,828000,207000,4,40代
S00318,2024/09/10,ニューヨーク,海外,5泊6日,828000,414000,2,30代
S00319,2024/09/08,台湾,海外,2泊3日,252000,63000,4,40代
S00320,2024/09/05,京都,国内,1泊2日,192000,48000,4,50代
S00321,2024/09/23,九州,国内,3泊4日,128000,64000,2,30代
S00322,2024/09/25,沖縄,国内,3泊4日,415000,83000,5,60代
S00323,2024/09/11,沖縄,国内,2泊3日,288000,72000,4,50代
S00324,2024/09/03,四国,国内,2泊3日,102000,51000,2,50代
S00325,2024/09/01,九州,国内,4泊5日,53000,53000,1,60代
S00326,2024/10/27,シンガポール,海外,3泊4日,351000,117000,3,30代
S00327,2024/10/26,韓国,海外,3泊4日,190000,38000,5,50代
S00328,2024/10/30,北海道,国内,2泊3日,126000,63000,2,20代
S00329,2024/10/10,タイ,海外,3泊4日,360000,72000,5,60代
S00330,2024/10/21,パリ,海外,6泊7日,390000,390000,1,40代
S00331,2024/10/01,ローマ,海外,6泊7日,717000,239000,3,20代
S00332,2024/10/27,ローマ,海外,5泊6日,1290000,215000,6,40代
S00333,2024/10/04,ニューヨーク,海外,5泊6日,472000,236000,2,60代
S00334,2024/10/22,パリ,海外,6泊7日,360000,360000,1,40代
S00335,2024/10/05,パリ,海外,8泊9日,771000,257000,3,40代
S00336,2024/10/13,バリ島,海外,5泊6日,822000,137000,6,30代
S00337,2024/10/20,グアム,海外,5泊6日,513000,171000,3,50代
S00338,2024/10/20,東京ディズニー,国内,1泊2日,88000,22000,4,30代
S00339,2024/10/04,ハワイ,海外,5泊6日,864000,288000,3,40代
S00340,2024/10/05,オーストラリア,海外,8泊9日,1380000,276000,5,40代
S00341,2024/10/25,オーストラリア,海外,5泊6日,249000,249000,1,20代
S00342,2024/10/21,ハワイ,海外,7泊8日,636000,318000,2,40代
S00343,2024/10/03,沖縄,国内,4泊5日,250000,50000,5,60代
S00344,2024/10/14,九州,国内,4泊5日,276000,46000,6,30代
S00345,2024/10/02,バリ島,海外,5泊6日,584000,146000,4,50代
S00346,2024/10/31,京都,国内,2泊3日,126000,42000,3,50代
S00347,2024/10/04,ニューヨーク,海外,5泊6日,674000,337000,2,40代
S00348,2024/10/16,パリ,海外,8泊9日,1275000,425000,3,20代
S00349,2024/10/29,台湾,海外,4泊5日,356000,89000,4,20代
S00350,2024/10/16,東京ディズニー,国内,2泊3日,96000,48000,2,30代
S00351,2024/10/08,東京ディズニー,国内,2泊3日,235000,47000,5,30代
S00352,2024/10/02,ローマ,海外,6泊7日,384000,192000,2,40代
S00353,2024/10/25,韓国,海外,3泊4日,72000,36000,2,40代
S00354,2024/10/08,ニューヨーク,海外,6泊7日,806000,403000,2,60代
S00355,2024/10/08,台湾,海外,2泊3日,55000,55000,1,40代
S00356,2024/10/01,オーストラリア,海外,8泊9日,828000,207000,4,50代
S00357,2024/11/05,シンガポール,海外,5泊6日,220000,110000,2,20代
S00358,2024/11/15,タイ,海外,5泊6日,77000,77000,1,20代
S00359,2024/11/14,グアム,海外,5泊6日,684000,114000,6,30代
S00360,2024/11/24,ローマ,海外,7泊8日,400000,200000,2,30代
S00361,2024/11/04,京都,国内,1泊2日,66000,33000,2,30代
S00362,2024/11/15,大阪,国内,2泊3日,230000,46000,5,20代
S00363,2024/11/27,沖縄,国内,3泊4日,126000,63000,2,50代
S00364,2024/11/06,東京ディズニー,国内,1泊2日,228000,38000,6,60代
S00365,2024/11/26,京都,国内,1泊2日,80000,40000,2,20代
S00366,2024/11/21,ローマ,海外,5泊6日,1179000,393000,3,30代
S00367,2024/11/15,タイ,海外,3泊4日,103000,103000,1,50代
S00368,2024/11/19,京都,国内,2泊3日,108000,27000,4,30代
S00369,2024/11/06,東京ディズニー,国内,2泊3日,42000,21000,2,60代
S00370,2024/11/29,ハワイ,海外,7泊8日,186000,186000,1,30代
S00371,2024/11/26,東京ディズニー,国内,1泊2日,192000,32000,6,50代
S00372,2024/11/17,タイ,海外,4泊5日,204000,102000,2,30代
S00373,2024/11/16,沖縄,国内,4泊5日,110000,55000,2,40代
S00374,2024/11/18,東京ディズニー,国内,1泊2日,156000,39000,4,60代
S00375,2024/11/28,オーストラリア,海外,6泊7日,746000,373000,2,40代
S00376,2024/11/12,ローマ,海外,6泊7日,1176000,392000,3,30代
S00377,2024/11/02,京都,国内,1泊2日,26000,26000,1,40代
S00378,2024/11/05,京都,国内,2泊3日,184000,46000,4,60代
S00379,2024/11/28,台湾,海外,4泊5日,320000,64000,5,60代
S00380,2024/11/10,京都,国内,2泊3日,108000,54000,2,30代
S00381,2024/11/18,京都,国内,3泊4日,240000,48000,5,40代
S00382,2024/11/24,東北,国内,3泊4日,96000,48000,2,50代
S00383,2024/11/20,沖縄,国内,3泊4日,270000,54000,5,60代
S00384,2024/11/24,京都,国内,1泊2日,72000,36000,2,60代
S00385,2024/11/09,大阪,国内,1泊2日,56000,28000,2,20代
S00386,2024/11/24,東北,国内,3泊4日,246000,41000,6,60代
S00387,2024/11/16,京都,国内,3泊4日,144000,36000,4,50代
S00388,2024/11/11,箱根,国内,2泊3日,126000,21000,6,20代
