Transaction_ID,Travel_destination,Rating,Emotions,Comments
S00083,ハワイ,5,ポジティブ,現地の人がフレンドリー
S00084,沖縄,2,ネガティブ,天気が悪くて残念
S00085,京都,5,ポジティブ,歴史を感じる旅でした
S00086,九州,2,ネガティブ,移動時間が長かった
S00087,バリ島,5,ポジティブ,文化体験が素晴らしい
S00088,ローマ,4,ポジティブ,イタリア料理が最高
S00089,タイ,4,ポジティブ,タイ料理が絶品
S00090,タイ,4,ポジティブ,マッサージが最高
S00091,大阪,4,ポジティブ,食い倒れ最高！
S00092,グアム,3,ポジティブ,ショッピングも満足
S00093,グアム,4,ポジティブ,マリンスポーツが楽しかった
S00094,タイ,5,ポジティブ,マッサージが最高
S00095,パリ,5,ポジティブ,一生の思い出になりました
S00096,沖縄,4,ポジティブ,海がとても綺麗でした！
S00097,パリ,4,ポジティブ,街並みが美しかった
S00098,ニューヨーク,2,ネガティブ,物価が非常に高い
S00099,シンガポール,5,ポジティブ,マーライオンを見れて感動
S00100,ハワイ,5,ポジティブ,現地の人がフレンドリー
S00101,シンガポール,3,ポジティブ,マーライオンを見れて感動
S00102,箱根,5,ポジティブ,美術館巡りが楽しかった
S00103,韓国,5,ポジティブ,気軽に行けて良かった
S00104,四国,5,ポジティブ,カツオのたたきが最高
S00105,箱根,2,ネガティブ,道路が渋滞していた
S00106,京都,3,ポジティブ,寺社仏閣が素晴らしかった
S00107,ローマ,4,ポジティブ,コロッセオに感動！
S00108,韓国,3,ポジティブ,K-POP聖地巡りが最高
S00109,韓国,1,ネガティブ,タクシーで遠回りされた
S00110,シンガポール,3,ポジティブ,マーライオンを見れて感動
S00111,九州,4,ポジティブ,博多ラーメンが絶品
S00112,京都,4,ポジティブ,紅葉が美しかった
S00113,大阪,5,ポジティブ,コスパが良かった
S00114,京都,4,ポジティブ,和食が最高でした
S00115,京都,3,ポジティブ,和食が最高でした
S00116,北海道,3,ポジティブ,温泉も食事も大満足です
S00117,ニューヨーク,4,ポジティブ,エネルギッシュな街でした
S00118,東京ディズニー,4,ポジティブ,夢の国で最高の思い出！
S00119,グアム,5,ポジティブ,ショッピングも満足
S00120,韓国,4,ポジティブ,K-POP聖地巡りが最高
S00121,シンガポール,2,ネガティブ,暑さが厳しかった
S00122,韓国,5,ポジティブ,K-POP聖地巡りが最高
S00123,北海道,5,ポジティブ,大自然を満喫できました
S00124,京都,5,ポジティブ,寺社仏閣が素晴らしかった
S00125,バリ島,5,ポジティブ,文化体験が素晴らしい
S00126,京都,4,ポジティブ,歴史を感じる旅でした
S00127,パリ,5,ポジティブ,街並みが美しかった
S00128,大阪,2,ネガティブ,人が多すぎて疲れた
S00129,四国,4,ポジティブ,自然が豊かでした
S00130,シンガポール,4,ポジティブ,ナイトサファリが楽しかった
S00131,バリ島,3,ポジティブ,棚田の景色に感動
S00132,ハワイ,4,ポジティブ,ダイヤモンドヘッドからの景色が絶景
S00133,バリ島,4,ポジティブ,文化体験が素晴らしい
S00134,大阪,2,ネガティブ,騒がしい場所が多い
S00135,ハワイ,5,ポジティブ,現地の人がフレンドリー
S00136,沖縄,4,ポジティブ,リゾート気分を満喫
S00137,四国,5,ポジティブ,自然が豊かでした
S00138,ニューヨーク,5,ポジティブ,タイムズスクエアに感動
S00139,九州,4,ポジティブ,温泉巡りが最高
S00140,大阪,4,ポジティブ,お笑い文化を満喫
S00141,ローマ,4,ポジティブ,歴史を感じる素晴らしい旅
S00142,バリ島,5,ポジティブ,リゾートホテルが最高
S00143,東北,4,ポジティブ,雪景色が幻想的でした
S00144,バリ島,5,ポジティブ,物価が安くて満足
S00145,オーストラリア,5,ポジティブ,グレートバリアリーフに感動
S00146,沖縄,4,ポジティブ,星空がとても美しかった
S00147,バリ島,5,ポジティブ,文化体験が素晴らしい
S00148,ハワイ,5,ポジティブ,何度でも行きたい！
S00149,ハワイ,5,ポジティブ,ダイヤモンドヘッドからの景色が絶景
S00150,台湾,5,ポジティブ,親日的で過ごしやすい
S00151,ハワイ,4,ポジティブ,ビーチが最高でした！
S00152,韓国,5,ポジティブ,明洞の活気がすごい
S00153,京都,4,ポジティブ,紅葉が美しかった
S00154,大阪,5,ポジティブ,USJがとても楽しかった
S00155,沖縄,3,ポジティブ,シュノーケリングが最高
S00156,東京ディズニー,5,ポジティブ,アトラクションが充実
S00157,大阪,3,ポジティブ,お笑い文化を満喫
S00158,韓国,4,ポジティブ,気軽に行けて良かった
S00159,沖縄,5,ポジティブ,海がとても綺麗でした！
S00160,バリ島,4,ポジティブ,棚田の景色に感動
S00161,九州,4,ポジティブ,温泉巡りが最高
S00162,パリ,5,ポジティブ,フランス料理が絶品
S00163,オーストラリア,4,ポジティブ,グレートバリアリーフに感動
S00164,東北,2,ネガティブ,交通の便が悪かった
S00165,東北,5,ポジティブ,雪景色が幻想的でした
S00166,ニューヨーク,4,ポジティブ,エネルギッシュな街でした
S00167,沖縄,5,ポジティブ,子連れでも楽しめました
S00168,東京ディズニー,4,ポジティブ,キャストの対応が素晴らしい
S00169,北海道,4,ポジティブ,温泉も食事も大満足です
S00170,韓国,3,ポジティブ,気軽に行けて良かった
S00171,九州,2,ネガティブ,一部の施設が老朽化
S00172,オーストラリア,3,ポジティブ,コアラが可愛かった
S00173,台湾,5,ポジティブ,コスパ抜群の旅でした
S00174,韓国,5,ポジティブ,コスメショッピングが楽しい
S00175,韓国,5,ポジティブ,韓国料理が美味しかった
S00176,四国,5,ポジティブ,うどんが絶品でした
S00177,九州,5,ポジティブ,温泉巡りが最高
S00178,北海道,4,ポジティブ,海鮮が新鮮で美味しかった
S00179,九州,4,ポジティブ,歴史スポットが充実
S00180,バリ島,5,ポジティブ,物価が安くて満足
S00181,箱根,4,ポジティブ,のんびりできました
S00182,台湾,3,ポジティブ,九份の雰囲気が素敵
S00183,台湾,4,ポジティブ,九份の雰囲気が素敵
S00184,京都,2,ネガティブ,観光客が多すぎた
S00185,韓国,4,ポジティブ,韓国料理が美味しかった
S00186,東北,4,ポジティブ,人が温かくて感動
S00187,四国,5,ポジティブ,カツオのたたきが最高
S00188,韓国,4,ポジティブ,明洞の活気がすごい
S00189,台湾,5,ポジティブ,夜市が最高でした！
S00190,北海道,5,ポジティブ,ラベンダー畑が素晴らしかった
S00191,北海道,1,ネガティブ,冬は寒すぎました
S00192,パリ,2,ネガティブ,英語が通じにくかった
S00193,パリ,5,ポジティブ,一生の思い出になりました
S00194,北海道,4,ポジティブ,温泉も食事も大満足です
S00195,九州,4,ポジティブ,歴史スポットが充実
S00196,タイ,2,ネガティブ,お腹を壊してしまった
S00197,沖縄,1,ネガティブ,台風で予定が変更に
S00198,バリ島,4,ポジティブ,棚田の景色に感動
S00199,台湾,4,ポジティブ,九份の雰囲気が素敵
S00200,ハワイ,5,ポジティブ,現地の人がフレンドリー
S00201,シンガポール,5,ポジティブ,グルメが充実
S00202,バリ島,5,ポジティブ,棚田の景色に感動
S00203,四国,5,ポジティブ,四万十川が美しかった
S00204,箱根,2,ネガティブ,観光地が小さめでした
S00205,東京ディズニー,4,ポジティブ,キャストの対応が素晴らしい
S00206,箱根,1,ネガティブ,天気が悪くて景色が見えず
S00207,バリ島,2,ネガティブ,しつこい客引きが多い
S00208,オーストラリア,4,ポジティブ,コアラが可愛かった
S00209,四国,2,ネガティブ,観光地間の移動が大変
S00210,シンガポール,5,ポジティブ,多文化な街が面白い
S00211,沖縄,3,ポジティブ,シュノーケリングが最高
S00212,台湾,4,ポジティブ,親日的で過ごしやすい
S00213,韓国,2,ネガティブ,タクシーで遠回りされた
S00214,北海道,4,ポジティブ,雪景色が最高でした！
S00215,東北,5,ポジティブ,雪景色が幻想的でした
S00216,沖縄,3,ポジティブ,星空がとても美しかった
S00217,沖縄,1,ネガティブ,天気が悪くて残念
S00218,グアム,4,ポジティブ,マリンスポーツが楽しかった
S00219,沖縄,3,ポジティブ,リゾート気分を満喫
S00220,ハワイ,4,ポジティブ,現地の人がフレンドリー
S00221,ハワイ,4,ポジティブ,何度でも行きたい！
S00222,沖縄,4,ポジティブ,シュノーケリングが最高
S00223,台湾,5,ポジティブ,小籠包が絶品
S00224,東北,1,ネガティブ,交通の便が悪かった
S00225,パリ,5,ポジティブ,美術館巡りが最高
S00226,四国,4,ポジティブ,お遍路体験が貴重でした
S00227,グアム,4,ポジティブ,マリンスポーツが楽しかった
S00228,東京ディズニー,3,ポジティブ,家族全員が楽しめました
S00229,オーストラリア,3,ポジティブ,大自然を満喫できた
S00230,ニューヨーク,5,ポジティブ,エネルギッシュな街でした
S00231,ローマ,5,ポジティブ,街歩きが楽しかった
S00232,箱根,2,ネガティブ,観光地が小さめでした
S00233,オーストラリア,4,ポジティブ,グレートバリアリーフに感動
S00234,バリ島,2,ネガティブ,衛生面が少し心配
S00235,オーストラリア,1,ネガティブ,フライトが長すぎる
S00236,北海道,4,ポジティブ,温泉も食事も大満足です
S00237,韓国,4,ポジティブ,明洞の活気がすごい
S00238,パリ,4,ポジティブ,街並みが美しかった
S00239,台湾,2,ネガティブ,暑すぎて体調を崩した
S00240,北海道,4,ポジティブ,雪景色が最高でした！
S00241,京都,5,ポジティブ,着物体験が楽しかった
S00242,タイ,2,ネガティブ,交通渋滞がひどかった
S00243,沖縄,4,ポジティブ,子連れでも楽しめました
S00244,ニューヨーク,3,ポジティブ,タイムズスクエアに感動
S00245,ハワイ,3,ポジティブ,ダイヤモンドヘッドからの景色が絶景
S00246,ハワイ,4,ポジティブ,現地の人がフレンドリー
S00247,北海道,4,ポジティブ,温泉も食事も大満足です
S00248,大阪,5,ポジティブ,食い倒れ最高！
S00249,北海道,2,ネガティブ,移動距離が長くて疲れた
S00250,東北,2,ネガティブ,冬は雪で移動が大変
S00251,四国,2,ネガティブ,観光地間の移動が大変
S00252,沖縄,4,ポジティブ,リゾート気分を満喫
S00253,大阪,5,ポジティブ,お笑い文化を満喫
S00254,沖縄,4,ポジティブ,海がとても綺麗でした！
S00255,沖縄,5,ポジティブ,海がとても綺麗でした！
S00256,東北,5,ポジティブ,雪景色が幻想的でした
S00257,東京ディズニー,5,ポジティブ,家族全員が楽しめました
S00258,北海道,4,ポジティブ,雪景色が最高でした！
S00259,シンガポール,5,ポジティブ,グルメが充実
S00260,九州,2,ネガティブ,天候に恵まれなかった
S00261,タイ,5,ポジティブ,マッサージが最高
S00262,バリ島,5,ポジティブ,リゾートホテルが最高
S00263,ハワイ,5,ポジティブ,ダイヤモンドヘッドからの景色が絶景
S00264,韓国,2,ネガティブ,タクシーで遠回りされた
S00265,タイ,4,ポジティブ,水上マーケットが楽しい
S00266,大阪,5,ポジティブ,道頓堀の活気がすごい
S00267,ニューヨーク,1,ネガティブ,物価が非常に高い
S00268,京都,5,ポジティブ,着物体験が楽しかった
S00269,台湾,4,ポジティブ,親日的で過ごしやすい
S00270,大阪,3,ポジティブ,食い倒れ最高！
S00271,ハワイ,4,ポジティブ,ダイヤモンドヘッドからの景色が絶景
S00272,北海道,4,ポジティブ,温泉も食事も大満足です
S00273,タイ,4,ポジティブ,マッサージが最高
S00274,ハワイ,3,ポジティブ,ビーチが最高でした！
S00275,タイ,5,ポジティブ,水上マーケットが楽しい
S00276,北海道,4,ポジティブ,雪景色が最高でした！
S00277,バリ島,4,ポジティブ,スパが最高でした
S00278,パリ,3,ポジティブ,エッフェル塔に感動！
S00279,韓国,2,ネガティブ,言葉が通じず困った
S00280,タイ,3,ポジティブ,寺院が美しかった
S00281,オーストラリア,2,ネガティブ,日差しが強すぎた
S00282,沖縄,5,ポジティブ,海がとても綺麗でした！
S00283,大阪,4,ポジティブ,コスパが良かった
S00284,東北,5,ポジティブ,祭りが最高でした
S00285,四国,5,ポジティブ,お遍路体験が貴重でした
S00286,沖縄,5,ポジティブ,リゾート気分を満喫
S00287,東北,4,ポジティブ,温泉と自然が素晴らしい
S00288,北海道,2,ネガティブ,移動距離が長くて疲れた
S00289,四国,5,ポジティブ,お遍路体験が貴重でした
S00290,ハワイ,5,ポジティブ,ダイヤモンドヘッドからの景色が絶景
S00291,ニューヨーク,3,ポジティブ,自由の女神は圧巻
S00292,韓国,3,ポジティブ,コスメショッピングが楽しい
S00293,九州,2,ネガティブ,一部の施設が老朽化
S00294,パリ,5,ポジティブ,一生の思い出になりました
S00295,東京ディズニー,4,ポジティブ,アトラクションが充実
S00296,台湾,4,ポジティブ,九份の雰囲気が素敵
S00297,東京ディズニー,4,ポジティブ,キャストの対応が素晴らしい
S00298,四国,4,ポジティブ,自然が豊かでした
S00299,パリ,4,ポジティブ,一生の思い出になりました
S00300,シンガポール,5,ポジティブ,グルメが充実
S00301,東京ディズニー,4,ポジティブ,パレードが素晴らしかった
S00302,東北,3,ポジティブ,地元の食事が美味しかった
S00303,東北,5,ポジティブ,祭りが最高でした
S00304,九州,4,ポジティブ,博多ラーメンが絶品
S00305,オーストラリア,3,ポジティブ,コアラが可愛かった
S00306,台湾,4,ポジティブ,小籠包が絶品
S00307,大阪,4,ポジティブ,食い倒れ最高！
S00308,グアム,4,ポジティブ,マリンスポーツが楽しかった
S00309,ハワイ,5,ポジティブ,現地の人がフレンドリー
S00310,バリ島,5,ポジティブ,棚田の景色に感動
S00311,九州,4,ポジティブ,歴史スポットが充実
S00312,京都,4,ポジティブ,紅葉が美しかった
S00313,京都,5,ポジティブ,歴史を感じる旅でした
S00314,シンガポール,5,ポジティブ,多文化な街が面白い
S00315,沖縄,4,ポジティブ,星空がとても美しかった
S00316,ニューヨーク,4,ポジティブ,自由の女神は圧巻
S00317,ハワイ,2,ネガティブ,日本人観光客が多すぎ
S00318,ニューヨーク,3,ポジティブ,タイムズスクエアに感動
S00319,台湾,4,ポジティブ,親日的で過ごしやすい
S00320,京都,4,ポジティブ,紅葉が美しかった
S00321,九州,1,ネガティブ,移動時間が長かった
S00322,沖縄,3,ポジティブ,シュノーケリングが最高
S00323,沖縄,4,ポジティブ,子連れでも楽しめました
S00324,四国,2,ネガティブ,観光地間の移動が大変
S00325,九州,1,ネガティブ,天候に恵まれなかった
S00326,シンガポール,4,ポジティブ,ナイトサファリが楽しかった
S00327,韓国,4,ポジティブ,K-POP聖地巡りが最高
S00328,北海道,4,ポジティブ,海鮮が新鮮で美味しかった
S00329,タイ,5,ポジティブ,マッサージが最高
S00330,パリ,5,ポジティブ,エッフェル塔に感動！
S00331,ローマ,5,ポジティブ,コロッセオに感動！
S00332,ローマ,5,ポジティブ,コロッセオに感動！
S00333,ニューヨーク,4,ポジティブ,ブロードウェイが最高
S00334,パリ,5,ポジティブ,美術館巡りが最高
S00335,パリ,5,ポジティブ,エッフェル塔に感動！
S00336,バリ島,4,ポジティブ,棚田の景色に感動
S00337,グアム,4,ポジティブ,子連れに最適でした
S00338,東京ディズニー,4,ポジティブ,パレードが素晴らしかった
S00339,ハワイ,5,ポジティブ,ショッピングも充実
S00340,オーストラリア,5,ポジティブ,オペラハウスが圧巻
S00341,オーストラリア,3,ポジティブ,オペラハウスが圧巻
S00342,ハワイ,4,ポジティブ,ショッピングも充実
S00343,沖縄,5,ポジティブ,海がとても綺麗でした！
S00344,九州,5,ポジティブ,歴史スポットが充実
S00345,バリ島,4,ポジティブ,スパが最高でした
S00346,京都,5,ポジティブ,和食が最高でした
S00347,ニューヨーク,4,ポジティブ,エネルギッシュな街でした
S00348,パリ,5,ポジティブ,フランス料理が絶品
S00349,台湾,5,ポジティブ,夜市が最高でした！
S00350,東京ディズニー,4,ポジティブ,アトラクションが充実
S00351,東京ディズニー,5,ポジティブ,キャストの対応が素晴らしい
S00352,ローマ,2,ネガティブ,道が分かりにくかった
S00353,韓国,5,ポジティブ,明洞の活気がすごい
S00354,ニューヨーク,4,ポジティブ,エネルギッシュな街でした
S00355,台湾,4,ポジティブ,夜市が最高でした！
S00356,オーストラリア,3,ポジティブ,オペラハウスが圧巻
S00357,シンガポール,2,ネガティブ,観光地が少なめ
S00358,タイ,5,ポジティブ,物価が安くて大満足
S00359,グアム,3,ポジティブ,マリンスポーツが楽しかった
S00360,ローマ,2,ネガティブ,観光地の入場料が高い
S00361,京都,3,ポジティブ,紅葉が美しかった
S00362,大阪,4,ポジティブ,コスパが良かった
S00363,沖縄,5,ポジティブ,リゾート気分を満喫
S00364,東京ディズニー,5,ポジティブ,アトラクションが充実
S00365,京都,4,ポジティブ,和食が最高でした
S00366,ローマ,3,ポジティブ,イタリア料理が最高
S00367,タイ,3,ポジティブ,寺院が美しかった
S00368,京都,5,ポジティブ,和食が最高でした
S00369,東京ディズニー,4,ポジティブ,家族全員が楽しめました
S00370,ハワイ,4,ポジティブ,何度でも行きたい！
S00371,東京ディズニー,4,ポジティブ,家族全員が楽しめました
S00372,タイ,5,ポジティブ,マッサージが最高
S00373,沖縄,2,ネガティブ,観光地の混雑がひどかった
S00374,東京ディズニー,4,ポジティブ,家族全員が楽しめました
S00375,オーストラリア,3,ポジティブ,グレートバリアリーフに感動
S00376,ローマ,2,ネガティブ,道が分かりにくかった
S00377,京都,5,ポジティブ,着物体験が楽しかった
S00378,京都,5,ポジティブ,紅葉が美しかった
S00379,台湾,4,ポジティブ,コスパ抜群の旅でした
S00380,京都,3,ポジティブ,和食が最高でした
S00381,京都,4,ポジティブ,紅葉が美しかった
S00382,東北,2,ネガティブ,観光スポットが限られた
S00383,沖縄,5,ポジティブ,子連れでも楽しめました
S00384,京都,3,ポジティブ,和食が最高でした
S00385,大阪,4,ポジティブ,食い倒れ最高！
S00386,東北,2,ネガティブ,冬は雪で移動が大変
S00387,京都,4,ポジティブ,寺社仏閣が素晴らしかった
S00388,箱根,2,ネガティブ,道路が渋滞していた
S00389,グアム,5,ポジティブ,ビーチが綺麗でした
S00390,バリ島,4,ポジティブ,リゾートホテルが最高
S00391,東京ディズニー,4,ポジティブ,夢の国で最高の思い出！
S00392,東北,5,ポジティブ,地元の食事が美味しかった
S00393,京都,3,ポジティブ,和食が最高でした
S00394,京都,5,ポジティブ,歴史を感じる旅でした
S00395,大阪,5,ポジティブ,お笑い文化を満喫
S00396,台湾,5,ポジティブ,コスパ抜群の旅でした
S00397,グアム,4,ポジティブ,ショッピングも満足
S00398,台湾,3,ポジティブ,小籠包が絶品
S00399,台湾,4,ポジティブ,小籠包が絶品
S00400,韓国,4,ポジティブ,気軽に行けて良かった
S00401,四国,4,ポジティブ,カツオのたたきが最高
S00402,京都,2,ネガティブ,観光客が多すぎた
S00403,台湾,4,ポジティブ,コスパ抜群の旅でした
S00404,ハワイ,5,ポジティブ,ショッピングも充実
S00405,ローマ,4,ポジティブ,歴史を感じる素晴らしい旅
S00406,東北,2,ネガティブ,冬は雪で移動が大変
S00407,東北,4,ポジティブ,雪景色が幻想的でした
S00408,韓国,5,ポジティブ,気軽に行けて良かった
S00409,韓国,5,ポジティブ,韓国料理が美味しかった
S00410,タイ,3,ポジティブ,寺院が美しかった
S00411,九州,5,ポジティブ,博多ラーメンが絶品
S00412,韓国,5,ポジティブ,気軽に行けて良かった
S00413,台湾,4,ポジティブ,夜市が最高でした！
S00414,ハワイ,3,ポジティブ,ショッピングも充実
S00415,ハワイ,4,ポジティブ,現地の人がフレンドリー
S00416,バリ島,4,ポジティブ,物価が安くて満足
S00417,東北,5,ポジティブ,人が温かくて感動
S00418,箱根,5,ポジティブ,芦ノ湖の景色が綺麗
S00419,ニューヨーク,4,ポジティブ,エネルギッシュな街でした
S00420,ローマ,4,ポジティブ,歴史を感じる素晴らしい旅
S00421,ハワイ,4,ポジティブ,ショッピングも充実
S00422,ニューヨーク,5,ポジティブ,自由の女神は圧巻
S00423,ハワイ,4,ポジティブ,何度でも行きたい！
S00424,グアム,2,ネガティブ,ホテルの質がイマイチ
S00425,ハワイ,1,ネガティブ,フライトが長くて疲れた
S00426,東京ディズニー,2,ネガティブ,待ち時間が長すぎた
S00427,北海道,4,ポジティブ,雪景色が最高でした！
S00428,東京ディズニー,4,ポジティブ,家族全員が楽しめました
S00429,オーストラリア,4,ポジティブ,コアラが可愛かった
S00430,九州,5,ポジティブ,温泉巡りが最高
S00431,東北,4,ポジティブ,地元の食事が美味しかった
S00432,大阪,2,ネガティブ,人が多すぎて疲れた
S00433,九州,4,ポジティブ,温泉巡りが最高
S00434,大阪,1,ネガティブ,騒がしい場所が多い
S00435,韓国,4,ポジティブ,コスメショッピングが楽しい
S00436,箱根,4,ポジティブ,芦ノ湖の景色が綺麗
S00437,ハワイ,5,ポジティブ,ダイヤモンドヘッドからの景色が絶景
S00438,バリ島,5,ポジティブ,スパが最高でした
S00439,グアム,4,ポジティブ,手軽に海外リゾート気分
S00440,韓国,4,ポジティブ,明洞の活気がすごい
S00441,パリ,5,ポジティブ,フランス料理が絶品
S00442,大阪,5,ポジティブ,USJがとても楽しかった
S00443,パリ,4,ポジティブ,フランス料理が絶品
S00444,台湾,4,ポジティブ,親日的で過ごしやすい
S00445,台湾,1,ネガティブ,暑すぎて体調を崩した
S00446,ハワイ,4,ポジティブ,何度でも行きたい！
S00447,韓国,5,ポジティブ,韓国料理が美味しかった
S00448,沖縄,4,ポジティブ,星空がとても美しかった
S00449,九州,4,ポジティブ,歴史スポットが充実
S00450,大阪,2,ネガティブ,人が多すぎて疲れた
S00451,パリ,5,ポジティブ,フランス料理が絶品
S00452,シンガポール,5,ポジティブ,治安が良くて安心
S00453,台湾,1,ネガティブ,暑すぎて体調を崩した
S00454,京都,3,ポジティブ,和食が最高でした
S00455,タイ,5,ポジティブ,タイ料理が絶品
S00456,韓国,4,ポジティブ,韓国料理が美味しかった
S00457,京都,5,ポジティブ,寺社仏閣が素晴らしかった
S00458,沖縄,5,ポジティブ,シュノーケリングが最高
S00459,箱根,5,ポジティブ,ロマンスカーも快適でした
S00460,沖縄,4,ポジティブ,星空がとても美しかった
S00461,東京ディズニー,4,ポジティブ,キャストの対応が素晴らしい
S00462,台湾,5,ポジティブ,コスパ抜群の旅でした
S00463,バリ島,3,ポジティブ,物価が安くて満足
S00464,ハワイ,4,ポジティブ,何度でも行きたい！
S00465,韓国,4,ポジティブ,明洞の活気がすごい
S00466,京都,4,ポジティブ,着物体験が楽しかった
S00467,ハワイ,4,ポジティブ,ビーチが最高でした！
S00468,ハワイ,4,ポジティブ,ショッピングも充実
S00469,ローマ,5,ポジティブ,街歩きが楽しかった
S00470,沖縄,5,ポジティブ,星空がとても美しかった
S00471,台湾,3,ポジティブ,九份の雰囲気が素敵
S00472,シンガポール,3,ポジティブ,多文化な街が面白い
S00473,タイ,5,ポジティブ,タイ料理が絶品
S00474,九州,5,ポジティブ,自然豊かで癒されました
S00475,グアム,3,ポジティブ,手軽に海外リゾート気分
S00476,京都,4,ポジティブ,和食が最高でした
S00477,沖縄,4,ポジティブ,子連れでも楽しめました
S00478,グアム,5,ポジティブ,ビーチが綺麗でした
S00479,オーストラリア,4,ポジティブ,オペラハウスが圧巻
S00480,箱根,4,ポジティブ,温泉が最高でした
S00481,大阪,4,ポジティブ,コスパが良かった
S00482,ハワイ,5,ポジティブ,何度でも行きたい！
